year,playerId,playerName,type,rank,playerFullName,playerFirstName,playerLastName,playerUseName,playerInitLastName,teamId,teamAbbrev,teamName,teamShortName,leagueName,leagueId,positionAbbrev,position,primaryPositionAbbrev,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,babip,extraBaseHits,hitByPitch,gidp,gidpOpp,numberOfPitches,pitchesPerPlateAppearance,walksPerPlateAppearance,strikeoutsPerPlateAppearance,homeRunsPerPlateAppearance,walksPerStrikeout,iso,reachedOnError,walkOffs,flyOuts,totalSwings,swingAndMisses,ballsInPlay,popOuts,lineOuts,groundOuts,flyHits,popHits,lineHits,groundHits,gamesPlayed,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,rbi,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
2013,408234,Miguel Cabrera,player,1,Miguel Cabrera,Jose,Cabrera,Miguel,M Cabrera,116,DET,Detroit Tigers,Tigers,AL,103,3B,Third Base,1B,652,353,220,0,2,.356,71,5,19,104,2424,3.718,.138,.144,.067,.957,.288,1,1,80,1206,258,463,25,35,130,50,0,89,54,148,140,103,26,1,44,94,90,19,193,.348,555,.442,.636,1.078,0,3,1.000,19,137,0.93,0,12.61
2013,448801,Chris Davis,player,2,Chris Davis,Christopher,Davis,Chris,C Davis,110,BAL,Baltimore Orioles,Orioles,AL,103,1B,First Base,1B,673,370,222,0,7,.336,96,10,4,81,2678,3.979,.107,.296,.079,.362,.348,4,1,70,1322,436,392,22,24,109,69,0,71,27,160,116,103,42,1,53,199,72,12,167,.286,584,.370,.634,1.004,1,4,.800,4,138,0.94,0,11.02
2013,545361,Mike Trout,player,3,Mike Trout,Michael,Trout,Mike,M Trout,108,LAA,Los Angeles Angels,Angels,AL,103,CF,Outfielder,CF,716,328,212,0,8,.376,75,9,8,81,3015,4.211,.154,.190,.038,.809,.234,11,0,95,1116,219,461,15,38,123,40,1,77,72,157,148,109,39,9,27,136,110,10,190,.323,589,.432,.557,.989,7,33,.825,8,97,0.83,0,21.82
2013,120074,David Ortiz,player,4,David Ortiz,David,Ortiz,David,D Ortiz,111,BOS,Boston Red Sox,Red Sox,AL,103,DH,Designated Hitter,DH,600,292,234,0,5,.321,70,1,21,102,2311,3.852,.127,.147,.050,.864,.255,6,1,88,1013,221,435,23,29,135,41,0,79,40,137,140,84,38,2,30,88,76,27,160,.309,518,.395,.564,.959,0,4,1.000,21,103,0.96,0,17.27
2013,502671,Paul Goldschmidt,player,5,Paul Goldschmidt,Paul,Goldschmidt,Paul,P Goldschmidt,109,AZ,Arizona Diamondbacks,D-backs,NL,104,1B,First Base,1B,710,332,229,0,5,.343,75,3,25,115,2930,4.127,.139,.204,.051,.683,.249,5,4,71,1191,271,462,19,41,149,37,0,89,56,160,131,103,36,3,36,145,99,19,182,.302,602,.401,.551,.952,7,15,.682,25,125,1.14,1,16.72
2013,453064,Troy Tulowitzki,player,6,Troy Tulowitzki,Troy,Tulowitzki,Troy,T Tulowitzki,115,COL,Colorado Rockies,Rockies,NL,104,SS,Shortstop,SS,512,241,189,0,5,.334,52,4,9,68,1967,3.842,.111,.166,.049,.671,.229,1,0,53,780,140,366,31,36,107,24,0,72,43,126,120,72,27,0,25,85,57,5,139,.312,446,.391,.540,.931,0,1,1.000,9,82,0.89,0,17.84
2013,150029,Jayson Werth,player,7,Jayson Werth,Jayson,Werth,Jayson,J Werth,120,WSH,Washington Nationals,Nationals,NL,104,RF,Outfielder,RF,532,246,192,0,5,.358,49,5,9,73,2258,4.244,.113,.190,.047,.594,.214,3,0,64,910,181,366,25,37,93,25,2,79,41,129,126,84,24,0,25,101,60,3,147,.318,462,.398,.532,.930,1,10,.909,9,82,0.74,0,18.48
2013,458015,Joey Votto,player,8,Joey Votto,Joseph,Votto,Joey,J Votto,113,CIN,Cincinnati Reds,Reds,NL,104,1B,First Base,1B,726,285,229,0,6,.360,57,4,15,93,3033,4.178,.186,.190,.033,.978,.186,4,2,75,1181,245,449,3,52,142,28,0,87,62,162,130,101,30,3,24,138,135,19,177,.305,581,.435,.491,.926,3,6,.667,15,73,1.09,0,24.21
2013,150212,Michael Cuddyer,player,9,Michael Cuddyer,Michael,Cuddyer,Michael,M Cuddyer,115,COL,Colorado Rockies,Rockies,NL,104,RF,Outfielder,RF,540,259,199,0,3,.382,54,2,13,77,2112,3.911,.085,.185,.037,.460,.198,2,0,60,976,222,392,17,21,132,26,0,71,65,130,98,74,31,3,20,100,46,5,162,.331,489,.389,.530,.919,3,10,.769,13,84,1.35,0,24.45
2013,457705,Andrew McCutchen,player,10,Andrew McCutchen,Andrew,McCutchen,Andrew,A McCutchen,134,PIT,Pittsburgh Pirates,Pirates,NL,104,CF,Outfielder,RF,674,296,238,0,4,.353,64,9,13,95,2562,3.801,.116,.150,.031,.772,.190,5,1,93,1169,247,486,31,44,133,26,0,92,67,157,168,97,38,5,21,101,78,12,185,.317,583,.404,.508,.912,10,27,.730,13,84,0.79,0,27.76
2013,429665,Edwin Encarnación,player,11,Edwin Encarnación,Edwin,Encarnación,Edwin,E Encarnación,141,TOR,Toronto Blue Jays,Blue Jays,AL,103,1B,First Base,DH,621,283,213,0,5,.247,66,4,20,95,2461,3.963,.132,.100,.058,1.323,.262,5,0,107,1007,162,473,45,32,145,34,3,82,25,142,184,90,29,1,36,62,82,7,144,.272,530,.370,.534,.904,1,7,.875,20,104,0.79,0,14.72
2013,429664,Robinson Canó,player,12,Robinson Canó,Robinson,Canó,Robinson,R Canó,147,NYY,New York Yankees,Yankees,AL,103,2B,Second Base,2B,681,312,200,0,5,.327,68,6,18,117,2476,3.636,.095,.125,.040,.765,.202,8,0,86,1193,179,525,23,44,182,38,0,90,62,160,153,81,41,0,27,85,65,16,190,.314,605,.383,.516,.899,1,7,.875,18,107,1.19,0,22.41
2013,518692,Freddie Freeman,player,13,Freddie Freeman,Frederick,Freeman,Freddie,F Freeman,144,ATL,Atlanta Braves,Braves,NL,104,1B,First Base,1B,629,276,193,0,5,.371,52,7,10,97,2398,3.812,.105,.192,.037,.545,.181,6,3,90,1291,310,435,8,32,129,38,0,100,38,147,130,89,27,2,23,121,66,10,176,.319,551,.396,.501,.897,0,1,1.000,10,109,0.99,0,23.96
2013,425783,Shin-Soo Choo,player,14,Shin-Soo Choo,Shin-Soo,Choo,Shin-Soo,S Choo,113,CIN,Cincinnati Reds,Reds,NL,104,CF,Outfielder,RF,712,263,161,3,2,.338,57,26,3,50,3010,4.228,.157,.187,.029,.842,.178,3,3,66,1173,264,441,12,35,166,22,0,82,58,154,113,107,34,2,21,133,112,5,162,.285,569,.423,.462,.885,11,20,.645,3,54,1.47,0,27.10
2013,518626,Josh Donaldson,player,15,Josh Donaldson,Joshua,Donaldson,Josh,J Donaldson,133,OAK,Oakland Athletics,Athletics,AL,103,3B,Third Base,3B,668,289,204,1,6,.333,64,6,15,92,2697,4.037,.114,.165,.036,.691,.199,4,3,88,1188,264,476,35,25,154,21,1,95,57,158,148,89,37,3,24,110,76,2,174,.301,579,.384,.499,.883,2,5,.714,15,93,1.04,0,24.12
2013,134181,Adrian Beltré,player,16,Adrian Beltré,Adrian,Beltré,Adrian,A Beltré,140,TEX,Texas Rangers,Rangers,AL,103,3B,Third Base,3B,690,321,285,0,2,.322,62,7,17,94,2534,3.672,.072,.113,.043,.641,.193,6,2,120,1220,192,555,38,44,154,32,3,108,56,161,202,88,32,0,30,78,50,12,199,.315,631,.371,.509,.880,0,1,1.000,17,92,0.76,0,21.03
2013,408045,Joe Mauer,player,16,Joe Mauer,Joseph,Mauer,Joe,J Mauer,142,MIN,Minnesota Twins,Twins,AL,103,C,Catcher,C,508,212,153,0,2,.383,46,0,7,55,2158,4.248,.120,.175,.022,.685,.153,2,0,60,805,144,358,5,22,127,25,0,73,46,113,87,62,35,0,11,89,61,7,144,.324,445,.404,.476,.880,1,0,.000,7,47,1.46,0,40.46
2013,407812,Matt Holliday,player,18,Matt Holliday,Matthew,Holliday,Matt,M Holliday,138,STL,St. Louis Cardinals,Cardinals,NL,104,LF,Outfielder,LF,602,255,196,0,4,.322,54,9,31,116,2236,3.714,.115,.143,.037,.802,.190,2,1,73,1107,236,438,29,32,148,27,0,76,53,141,134,103,31,1,22,86,69,5,156,.300,520,.389,.490,.879,1,6,.857,31,94,1.10,0,23.64
2013,572761,Matt Carpenter,player,19,Matt Carpenter,Matthew,Carpenter,Matt,M Carpenter,138,STL,St. Louis Cardinals,Cardinals,NL,104,2B,Second Base,DH,717,301,144,3,7,.359,73,9,4,54,2954,4.120,.100,.137,.015,.735,.163,5,0,112,1093,135,538,18,57,152,24,1,109,65,157,187,126,55,7,11,98,72,1,199,.318,626,.392,.481,.873,3,3,.500,4,78,0.81,0,56.91
2013,461235,Brandon Moss,player,20,Brandon Moss,Brandon,Moss,Brandon,B Moss,133,OAK,Oakland Athletics,Athletics,AL,103,1B,First Base,1B,505,233,199,0,3,.301,56,6,4,64,2017,3.994,.099,.277,.059,.357,.267,7,2,70,999,314,309,29,22,74,38,0,53,23,145,121,73,23,3,30,140,50,3,114,.256,446,.337,.522,.859,2,4,.667,4,87,0.61,0,14.87
2013,430832,José Bautista,player,21,José Bautista,José,Bautista,José,J Bautista,141,TOR,Toronto Blue Jays,Blue Jays,AL,103,RF,Outfielder,RF,528,225,178,0,4,.259,52,3,13,79,2236,4.235,.131,.159,.053,.821,.239,3,1,77,856,144,372,42,19,117,26,0,55,36,118,138,82,24,0,28,84,69,2,117,.259,452,.358,.498,.856,2,7,.778,13,73,0.85,0,16.14
2013,452252,Adam Lind,player,22,Adam Lind,Adam,Lind,Adam,A Lind,141,TOR,Toronto Blue Jays,Blue Jays,AL,103,1B,First Base,1B,521,231,192,0,4,.324,50,1,20,76,2131,4.090,.098,.198,.044,.495,.209,4,0,60,867,185,366,20,18,134,29,0,64,41,143,98,67,26,1,23,103,51,5,134,.288,465,.357,.497,.854,0,1,1.000,20,67,1.37,0,20.22
2013,407781,Marlon Byrd,player,23,Marlon Byrd,Marlon,Byrd,Marlon,M Byrd,134,PIT,Pittsburgh Pirates,Pirates,NL,104,RF,Outfielder,CF,579,272,242,1,7,.353,64,8,11,76,2115,3.653,.054,.249,.041,.215,.220,7,1,74,1154,340,396,23,36,108,38,2,58,57,147,133,75,35,5,24,144,31,2,155,.291,532,.336,.511,.847,4,2,.333,11,88,0.81,0,22.17
2013,519317,Giancarlo Stanton,player,24,Giancarlo Stanton,Giancarlo,Stanton,Giancarlo,G Stanton,146,MIA,Miami Marlins,Marlins,NL,104,RF,Outfielder,DH,504,204,180,0,1,.313,50,4,10,75,2087,4.141,.147,.278,.048,.529,.231,4,2,44,859,293,286,27,14,95,16,1,58,31,116,85,62,26,0,24,140,74,5,106,.249,425,.365,.480,.845,0,1,1.000,10,62,1.12,0,17.71
2013,460576,Carlos Gómez,player,25,Carlos Gómez,Carlos,Gómez,Carlos,C Gómez,158,MIL,Milwaukee Brewers,Brewers,NL,104,CF,Outfielder,CF,590,271,224,1,6,.344,61,10,11,86,2173,3.683,.063,.247,.041,.253,.222,5,0,69,1184,326,397,28,32,116,33,1,64,54,147,129,80,27,10,24,146,37,2,152,.284,536,.338,.506,.844,7,40,.851,11,73,0.90,0,22.33
2014,400121,Victor Martinez,player,1,Victor Martinez,Victor,Martinez,Victor,V Martinez,116,DET,Detroit Tigers,Tigers,AL,103,DH,Designated Hitter,DH,641,317,208,0,6,.316,65,4,17,104,2586,4.034,.109,.066,.050,1.667,.230,7,0,121,1111,102,525,23,34,159,32,0,94,62,151,178,87,33,0,32,42,70,28,188,.335,561,.409,.565,.974,2,3,.600,17,103,0.89,0,17.53
2014,547989,José Abreu,player,2,José Abreu,José,Abreu,José,J Abreu,145,CWS,Chicago White Sox,White Sox,AL,103,1B,First Base,1B,622,323,203,0,4,.356,73,11,14,92,2351,3.780,.082,.211,.058,.389,.264,9,1,52,1249,356,429,21,30,150,37,0,86,53,145,103,80,35,2,36,131,51,15,176,.317,556,.383,.581,.964,1,3,.750,14,107,1.46,0,15.44
2014,457705,Andrew McCutchen,player,3,Andrew McCutchen,Andrew,McCutchen,Andrew,A McCutchen,134,PIT,Pittsburgh Pirates,Pirates,NL,104,CF,Outfielder,RF,648,297,214,0,6,.355,69,10,9,85,2640,4.074,.130,.177,.039,.730,.228,5,0,82,1173,276,439,30,37,118,27,0,84,61,146,149,89,38,6,25,115,84,8,172,.314,548,.410,.542,.952,3,18,.857,9,83,0.79,0,21.92
2014,519317,Giancarlo Stanton,player,4,Giancarlo Stanton,Giancarlo,Stanton,Giancarlo,G Stanton,146,MIA,Miami Marlins,Marlins,NL,104,RF,Outfielder,DH,638,299,234,0,2,.353,69,3,16,96,2597,4.071,.147,.266,.058,.553,.267,1,2,61,1097,359,371,30,21,104,19,1,81,54,145,112,89,31,1,37,170,94,24,155,.288,539,.395,.555,.950,1,13,.929,16,105,0.93,0,14.57
2014,545361,Mike Trout,player,5,Mike Trout,Michael,Trout,Mike,M Trout,108,LAA,Los Angeles Angels,Angels,AL,103,CF,Outfielder,CF,705,338,211,0,10,.349,84,10,6,96,3136,4.448,.118,.261,.051,.451,.274,5,2,84,1186,260,428,39,38,94,35,2,83,53,157,161,115,39,9,36,184,83,6,173,.287,602,.377,.561,.938,2,16,.889,6,111,0.58,0,16.72
2014,430832,José Bautista,player,6,José Bautista,José,Bautista,José,J Bautista,141,TOR,Toronto Blue Jays,Blue Jays,AL,103,RF,Outfielder,RF,673,290,215,1,6,.287,62,9,18,118,2743,4.076,.155,.143,.052,1.083,.239,9,1,82,1081,215,464,52,33,139,36,2,67,53,155,167,101,27,0,35,96,104,11,158,.286,553,.403,.524,.927,2,6,.750,18,103,0.83,0,15.80
2014,519203,Anthony Rizzo,player,7,Anthony Rizzo,Anthony,Rizzo,Anthony,A Rizzo,112,CHC,Chicago Cubs,Cubs,NL,104,1B,First Base,1B,616,276,189,0,4,.311,61,15,8,69,2478,4.023,.119,.188,.052,.629,.240,4,3,69,1076,244,412,36,33,124,38,1,80,31,140,138,89,28,1,32,116,73,7,150,.286,524,.386,.527,.913,4,5,.556,8,78,0.90,0,16.38
2014,429665,Edwin Encarnación,player,8,Edwin Encarnación,Edwin,Encarnación,Edwin,E Encarnación,141,TOR,Toronto Blue Jays,Blue Jays,AL,103,1B,First Base,DH,542,261,240,0,1,.260,63,2,18,103,2241,4.135,.114,.151,.063,.756,.279,2,1,77,954,179,396,47,29,115,36,0,60,32,128,153,75,27,2,34,82,62,6,128,.268,477,.354,.547,.901,0,2,1.000,18,98,0.75,0,14.03
